ID,HR,Label
1928,81,Normal
1929,81,Normal
1930,81,Normal
1931,81,Normal
1932,81,Normal
1933,81,Normal
1934,81,Normal
1935,81,Normal
1936,81,Normal
1937,81,Normal
1938,81,Normal
1939,81,Normal
1940,81,Normal
1941,81,Normal
1942,81,Normal
1943,81,Normal
1944,81,Normal
1945,81,Normal
1946,81,Normal
1947,81,Normal
1948,81,Normal
1949,81,Normal
1950,81,Normal
1951,81,Normal
1952,81,Normal
1953,81,Normal
1954,81,Normal
1955,81,Normal
1956,81,Normal
1957,81,Normal
1958,81,Normal
1959,81,Normal
1960,81,Normal
1961,81,Normal
1962,81,Normal
1963,81,Normal
1964,81,Normal
1965,81,Normal
1966,81,Normal
1967,81,Normal
1968,80,Normal
1969,80,Normal
1970,80,Normal
1971,80,Normal
1972,80,Normal
1973,80,Normal
1974,80,Normal
1975,80,Normal
1976,80,Normal
1977,80,Normal
1978,80,Normal
1979,80,Normal
1980,80,Normal
1981,80,Normal
1982,80,Normal
1983,80,Normal
1984,80,Normal
1985,80,Normal
1986,80,Normal
1987,80,Normal
1988,80,Normal
1989,80,Normal
1990,80,Normal
1991,80,Normal
1992,80,Normal
